Symptom,Disease
anxiety,depression mental
apathy,depression mental
general discontent,depression mental
guilt,depression mental
hopelessness,depression mental
loss of interest,depression mental
pleasure in activities,depression mental
mood swings,depression mental
sadness,depression mental
agitation,depression mental
excessive crying,depression mental
irritability,depression mental
restlessness,depression mental
social isolation,depression mental
early awakening,depression mental
excess sleepiness,depression mental
insomnia,depression mental
restless sleep,depression mental
excessive hunger,depression mental
fatigue,depression mental
loss of appetite,depression mental
lack of concentration,depression mental
slowness in activity,depression mental
thoughts of suicide,depression mental
weight gain,depression mental
weight loss,depression mental
poor appetite,depression mental
repeatedly going over thoughts,depression mental
fatigue,hypothyroidism
lethargy,hypothyroidism
feeling cold,hypothyroidism
delayed puberty,hypothyroidism
slow growth,hypothyroidism
hair loss,hypothyroidism
dryness,hypothyroidism
brittle nails,hypothyroidism
constipation,hypothyroidism
dry skin,hypothyroidism
enlarged thyroid,hypothyroidism
high cholesterol,hypothyroidism
irritability,hypothyroidism
sensitivity to cold,hypothyroidism
sexual dysfunction,hypothyroidism
slow heart rate,hypothyroidism
sluggishness,hypothyroidism
weight gain,hypothyroidism
irregular uterine bleeding,hypothyroidism
in the bones,malignant neoplasm of prostate
difficulty starting and maintaining a steady stream of urine,malignant neoplasm of prostate
dribbling of urine,malignant neoplasm of prostate
excessive urination at night,malignant neoplasm of prostate
frequent urination,malignant neoplasm of prostate
urge to urinate and leaking,malignant neoplasm of prostate
urinary retention,malignant neoplasm of prostate
weak urinary stream,malignant neoplasm of prostate
dizziness,anemia
fatigue,anemia
lightheadedness,anemia
malaise,anemia
fast heart rate,anemia
palpitations,anemia
brittle nails,anemia
headache,anemia
shortness of breath,anemia
weakness in the back,anemia
pain in upper-right abdomen,cholelithiasis
indigestion,cholelithiasis
nausea,cholelithiasis
vomiting,cholelithiasis
cramping from gallstones,cholelithiasis
discomfort,cholelithiasis
pain in the abdomen,cirrhosis
bleeding,cirrhosis
dark stool from digested blood,cirrhosis
fluid in the abdomen,cirrhosis
nausea,cirrhosis
passing excessive amounts of gas,cirrhosis
vomiting blood,cirrhosis
water retention,cirrhosis
fatigue,cirrhosis
loss of appetite,cirrhosis
reduced hormone production,cirrhosis
web of swollen blood vessels in the skin,cirrhosis
yellow skin and eyes,cirrhosis
weight gain,cirrhosis
weight loss,cirrhosis
bleeding,cirrhosis
breast augmentation,cirrhosis
bruising,cirrhosis
dark urine,cirrhosis
enlarged veins around belly button,cirrhosis
itching,cirrhosis
mental confusion,cirrhosis
muscle weakness,cirrhosis
shortness of breath,cirrhosis
swelling,cirrhosis
swelling in extremities,cirrhosis
swollen veins in the lower esophagus,cirrhosis
pain in the chest,pneumothorax
fast breathing,pneumothorax
shallow breathing,pneumothorax
shortness of breath,pneumothorax
chest pressure,pneumothorax
coughing,pneumothorax
fast heart rate,pneumothorax
low oxygen in the body,pneumothorax
pain in the face,migraine disorders
pain in neck,migraine disorders
throbbing,migraine disorders
sensitivity to light,migraine disorders
distorted vision,migraine disorders
seeing flashes of light,migraine disorders
dizziness,migraine disorders
lightheadedness,migraine disorders
malaise,migraine disorders
aura,migraine disorders
sensitivity to sound,migraine disorders
nausea,migraine disorders
vomiting,migraine disorders
irritability,migraine disorders
nasal congestion,migraine disorders
scalp tenderness,migraine disorders
pain in the abdomen,pancreatitis
pain in back,pancreatitis
pain can be sudden in the abdomen,pancreatitis
bloating,pancreatitis
fat in stool,pancreatitis
indigestion,pancreatitis
nausea,pancreatitis
vomiting,pancreatitis
loss of appetite,pancreatitis
sweating,pancreatitis
fast heart rate,pancreatitis
weight loss,pancreatitis
fatigue,HIV
fever,HIV
loss of appetite,HIV
malaise,HIV
night sweats,HIV
sweating,HIV
nausea,HIV
persistent diarrhea,HIV
vomiting,HIV
watery diarrhea,HIV
difficulty swallowing,HIV
swelling,HIV
ulcers,HIV
white tongue,HIV
opp,HIV
tunistic infection,HIV
headache,HIV
oral thrush,HIV
pneumonia,HIV
red blotches,HIV
severe unintentional weight loss,HIV
skin rash,HIV
swollen lymph nodes,HIV
mood swings,bipolar disorder
sadness,bipolar disorder
elevated mood,bipolar disorder
anger,bipolar disorder
anxiety,bipolar disorder
apathy,bipolar disorder
apprehension,bipolar disorder
euphoria,bipolar disorder
general discontent,bipolar disorder
guilt,bipolar disorder
hopelessness,bipolar disorder
loss of interest,bipolar disorder
pleasure in activities,bipolar disorder
irritability,bipolar disorder
risk taking behavior,bipolar disorder
disorganized behavior,bipolar disorder
aggression,bipolar disorder
agitation,bipolar disorder
crying,bipolar disorder
excess desire for sex,bipolar disorder
hyperactivity,bipolar disorder
impulsivity,bipolar disorder
restlessness,bipolar disorder
self-harm,bipolar disorder
unwanted thoughts,bipolar disorder
delusion,bipolar disorder
lack of concentration,bipolar disorder
racing thoughts,bipolar disorder
slowness in activity,bipolar disorder
false belief of superiority,bipolar disorder
depression,bipolar disorder
manic episode,bipolar disorder
agitated depression,bipolar disorder
paranoia,bipolar disorder
weight gain,bipolar disorder
weight loss,bipolar disorder
difficulty falling asleep,bipolar disorder
excess sleepiness,bipolar disorder
fatigue,bipolar disorder
rapid and frenzied speaking,bipolar disorder
excess sweating,hypoglycemia
excessive hunger,hypoglycemia
fainting,hypoglycemia
fatigue,hypoglycemia
lightheadedness,hypoglycemia
shakiness,hypoglycemia
nausea,hypoglycemia
vomiting,hypoglycemia
mental confusion,hypoglycemia
unresponsiveness,hypoglycemia
dryness,hypoglycemia
tingling lips,hypoglycemia
anxiety,hypoglycemia
blurred vision,hypoglycemia
headache,hypoglycemia
irritability,hypoglycemia
palpitations,hypoglycemia
sensation of pins and needles,hypoglycemia
sleepiness,hypoglycemia
slurred speech,hypoglycemia
trembling,hypoglycemia
unsteadiness,hypoglycemia
pain in the abdomen,hepatitis C
bleeding,hepatitis C
bloating,hepatitis C
fluid in the abdomen,hepatitis C
nausea,hepatitis C
fatigue,hepatitis C
fever,hepatitis C
loss of appetite,hepatitis C
web of swollen blood vessels in the skin,hepatitis C
yellow skin and eyes,hepatitis C
depression,hepatitis C
weight loss ,hepatitis C
pain in the back,biliary calculus
pain in upper-right abdomen,biliary calculus
pain can be severe,biliary calculus
indigestion,biliary calculus
nausea,biliary calculus
vomiting,biliary calculus
cramping from gallstones,biliary calculus
